DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
ESTADAL;OD13671414;JOSEFA ROA DE MOLINA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13831414;JUAN  RODRIGUEZ SUAREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD17391421;JUAN EDUARDO RAMIREZ ROA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05221411;JUMANGAL;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03161417;LEONOR DE LA GUERRA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD15241419;LOS MICUYES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD16341410;LUISA CACERES DE ARISMENDI;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON16131401;LUZ QUINTERO RIVERA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD17781412;MARCOLINA DE VOLCANES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD14261419;MESA DEL CUCHARITO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05131421;MESAS DE SANTA RITA NER017;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04721401;MIGUEL JOSE ANTONIO SANZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05211411;MUCUMPIS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09721421;NER 015;Solo dejaron observaciones o ceros.
ESTADAL;OD05161421;NER 017;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON14981421;NOHEMI HIGUERA DE GUZMAN;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON16121401;OMELIA BRICEÑO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03481414;PEDRO ANTONIO TORRES VALERO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD04171407;PREESCOLAR LAS INRREVIS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13691414;RAMONA DEL CARMEN ARAQUE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09631411;SAN ANTONIO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05141421;SAN ANTONIO BAJO NER 017;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09561420;SAN ANTONIO DE PADUA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12181410;SAN LORENZO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10891404;SANTA CRUZ DE CAMPO ELIAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON17101406;T.E.L.E. DAVID RAMÓN TORRES CALDERON;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD00751412;U.E  ELEAZAR LOPEZ CONTRERAS;Ningún trabajador tiene datos de cuadratura.
ETCRN JOSE R G SUAREZ;BASICA;BASICA;Ningún trabajador tiene datos de cuadratura.
J I- FOCION FEBRES C;OBRERO;PRIMARIA;Ningún trabajador tiene datos de cuadratura.
JI ELOY PAREDES;PRIMARIA;PRIMARIA;Ningún trabajador tiene datos de cuadratura.
L.N. FLOTENCIO RAMIREZ;PROFESOR;SUPERIOR;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17671417;ALEXANDER QUINTERO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10981404;BUENOS AIRES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1153D1403;C-B SANTOS MARQUINA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1361D1423;C.B DR JOSE RAMON VEGA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10931404;CAMPO ELIAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S0269D1412;CB CARACCIOLO PARRA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1831D1401;CB DON RAFAEL ANGEL RONDON MARQUEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1357N1403;CCB EUTIMIO RIVAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1151N1412;CCB HAYDEE CARDENAS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S1465N1402;CCB LA AZULITA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON11571406;CCB-EJIDO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD15311412;CD ROMULO GALLEGOS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12451412;CDI N-17;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON09971401;CEA CUATRICENTENARIO;Solo dejaron observaciones o ceros.
NACIONAL;ON09831401;CEA EL VIGIA;Solo dejaron observaciones o ceros.
NACIONAL;ON12491412;CEA LOS SAUZALEZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON12501412;CEA MARIANITA MENDOZA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON12411412;CEA VICENTE DAVILA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON12421406;CEA-HUMBOLT;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON12631412;CEC SAN CRISTOBAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01791401;CEI PREESCOLAR BOLIVARIANO LUISA DE PACANINS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17291406;CEIB SAN RAFAEL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16961401;CEIS NANCY MORA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;ON13991417;CENTRO DE ESPECIALIDADES MUCUCHIES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12551412;CENTRO DE REHABILITACION DE LENGUAJE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17411420;CENTRO MATERNAL Y PREESCOLAR HIPOLITA BOLIVAR;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14821420;COMPLEJO  EDUCATIVO RINCON DEL JARILLAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02051421;CORONEL ANTONIO RANGEL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01271406;CPE - GN MARISCAL AYACUCHO / CPE -G MARISCAL AYACUCHO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD12711412;CPEAÑO INTERNACIONAL DEL NIÑO I;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD05121421;E B PATA DE GALLINA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD16251406;E-E EQUIPO DE INTEGRACION;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S2863D1420;E. B. ESTADO PORTUGUESA;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02891419;EB 21 DE NOVIEMBRE;Solo dejaron observaciones o ceros.
NACIONAL;S3979D1406;EBC EJIDO II;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00671401;EBN 24 DE JULIO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01711401;EBN MANUELITA SAENZ;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD10331401;ECUELA BASICA GENERAL CARLOS SOUBLETTE;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02461404;EL PLATANICAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD17791401;ESC BAS ANDRES BELLO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01761401;ESC SIMON RODRIGUEZ / JI BAILADORES;Solo dejaron observaciones o ceros.
NACIONAL;OD04691401;ESC URQUIA MARU;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01061411;ESC- SAN CRISTOBAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01941409;ESC-MESA DE QUINTERO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S2905D1417;ESC-MUCUCHIES;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD01671414;ESC. DR. MARIANO UZCATEGUI;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD00191421;ESC.SAN FRANCISCO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14461420;ESCUELA  ESTADAL EL PLATANAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14751420;ESCUELA  MACIEGAL;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD04761401;ESCUELA ANA MARIA CAMPOS;Ningún trabajador tiene datos de cuadratura.
NACIONAL;S2862D1420;ESCUELA BOLIVARIANA GENARINA DUGARTE C.;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14451420;ESCUELA EL CAMBUR;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD02651401;ESCUELA EL CEIBAL;Solo dejaron observaciones o ceros.
NACIONAL;OD14481420;ESCUELA EL HATICO;Ningún trabajador tiene datos de cuadratura.
NACIONAL;OD14781420;ESCUELA EL PARAMITO;Ningún trabajador tiene datos de cuadratura.
